Case ID,Case Title,Case Description,Category,Example Question,Example Response
1,Case Title 1,Description of case 1,Employment Law,What was the outcome of Case Title 1?,The case resulted in a decision for the plaintiff.
2,Case Title 2,Description of case 2,Family Law,What was the outcome of Case Title 2?,The case resulted in a decision for the plaintiff.
3,Case Title 3,Description of case 3,Employment Law,What was the outcome of Case Title 3?,The case resulted in a decision for the plaintiff.
4,Case Title 4,Description of case 4,Employment Law,What was the outcome of Case Title 4?,The case resulted in a decision for the plaintiff.
5,Case Title 5,Description of case 5,Criminal,What was the outcome of Case Title 5?,The case resulted in a decision for the plaintiff.
6,Case Title 6,Description of case 6,Employment Law,What was the outcome of Case Title 6?,The case resulted in a decision for the plaintiff.
7,Case Title 7,Description of case 7,Criminal,What was the outcome of Case Title 7?,The case resulted in a decision for the plaintiff.
8,Case Title 8,Description of case 8,Civil,What was the outcome of Case Title 8?,The case resulted in a decision for the plaintiff.
9,Case Title 9,Description of case 9,Family Law,What was the outcome of Case Title 9?,The case resulted in a decision for the plaintiff.
10,Case Title 10,Description of case 10,Intellectual Property,What was the outcome of Case Title 10?,The case resulted in a decision for the plaintiff.
11,Case Title 11,Description of case 11,Civil,What was the outcome of Case Title 11?,The case resulted in a decision for the plaintiff.
12,Case Title 12,Description of case 12,Family Law,What was the outcome of Case Title 12?,The case resulted in a decision for the plaintiff.
13,Case Title 13,Description of case 13,Intellectual Property,What was the outcome of Case Title 13?,The case resulted in a decision for the plaintiff.
14,Case Title 14,Description of case 14,Civil,What was the outcome of Case Title 14?,The case resulted in a decision for the plaintiff.
15,Case Title 15,Description of case 15,Intellectual Property,What was the outcome of Case Title 15?,The case resulted in a decision for the plaintiff.
16,Case Title 16,Description of case 16,Criminal,What was the outcome of Case Title 16?,The case resulted in a decision for the plaintiff.
17,Case Title 17,Description of case 17,Civil,What was the outcome of Case Title 17?,The case resulted in a decision for the plaintiff.
18,Case Title 18,Description of case 18,Family Law,What was the outcome of Case Title 18?,The case resulted in a decision for the plaintiff.
19,Case Title 19,Description of case 19,Family Law,What was the outcome of Case Title 19?,The case resulted in a decision for the plaintiff.
20,Case Title 20,Description of case 20,Family Law,What was the outcome of Case Title 20?,The case resulted in a decision for the plaintiff.
21,Case Title 21,Description of case 21,Criminal,What was the outcome of Case Title 21?,The case resulted in a decision for the plaintiff.
22,Case Title 22,Description of case 22,Civil,What was the outcome of Case Title 22?,The case resulted in a decision for the plaintiff.
23,Case Title 23,Description of case 23,Family Law,What was the outcome of Case Title 23?,The case resulted in a decision for the plaintiff.
24,Case Title 24,Description of case 24,Civil,What was the outcome of Case Title 24?,The case resulted in a decision for the plaintiff.
25,Case Title 25,Description of case 25,Criminal,What was the outcome of Case Title 25?,The case resulted in a decision for the plaintiff.
